nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.282899: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_5_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 294 		 Survival : 7.0  		 Treated : 0 		 Reward : 5.34
Updates : 296 		 Survival : 20.0  		 Treated : 0 		 Reward : -2.24
Updates : 298 		 Survival : 108.0  		 Treated : 0 		 Reward : -483597.47
Updates : 300 		 Survival : 42.0  		 Treated : 0 		 Reward : -5.95
Updates : 302 		 Survival : 108.0  		 Treated : 0 		 Reward : -267672.5
Updates : 304 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 306 		 Survival : 12.0  		 Treated : 0 		 Reward : 26.57
Updates : 308 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 310 		 Survival : 10.0  		 Treated : 0 		 Reward : -4.6
Updates : 312 		 Survival : 14.0  		 Treated : 0 		 Reward : 27.09
Updates : 314 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.02
Updates : 316 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 318 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 320 		 Survival : 20.0  		 Treated : 0 		 Reward : 32.0
Updates : 322 		 Survival : 9.0  		 Treated : 0 		 Reward : 4.57
Updates : 324 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.18
Updates : 326 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.96
Updates : 328 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 330 		 Survival : 25.0  		 Treated : 0 		 Reward : 0.88
Updates : 332 		 Survival : 28.0  		 Treated : 0 		 Reward : 49.57
Updates : 334 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.12
Updates : 336 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 338 		 Survival : 11.0  		 Treated : 0 		 Reward : 9.45
Updates : 340 		 Survival : 19.0  		 Treated : 0 		 Reward : 39.83
Updates : 342 		 Survival : 16.0  		 Treated : 0 		 Reward : 11.94
Updates : 344 		 Survival : 59.0  		 Treated : 0 		 Reward : -677.87
Updates : 346 		 Survival : 32.0  		 Treated : 0 		 Reward : 168.05
Updates : 348 		 Survival : 11.0  		 Treated : 0 		 Reward : 8.07
Updates : 350 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 352 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 354 		 Survival : 5.0  		 Treated : 0 		 Reward : 2.03
Updates : 356 		 Survival : 11.0  		 Treated : 0 		 Reward : 1.42
Updates : 358 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 360 		 Survival : 8.0  		 Treated : 0 		 Reward : -0.75
Updates : 362 		 Survival : 17.0  		 Treated : 0 		 Reward : 17.3
Updates : 364 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.21
Updates : 366 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.88
Updates : 368 		 Survival : 47.0  		 Treated : 0 		 Reward : 280.88
Updates : 370 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 372 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 374 		 Survival : 35.0  		 Treated : 0 		 Reward : -147.74
Updates : 376 		 Survival : 27.0  		 Treated : 0 		 Reward : 20.48
Updates : 378 		 Survival : 5.0  		 Treated : 0 		 Reward : 14.24
Updates : 380 		 Survival : 14.0  		 Treated : 0 		 Reward : 31.31
Updates : 382 		 Survival : 9.0  		 Treated : 0 		 Reward : 1.63
Updates : 384 		 Survival : 41.0  		 Treated : 0 		 Reward : 124.48
Updates : 386 		 Survival : 9.0  		 Treated : 0 		 Reward : 13.85
Updates : 388 		 Survival : 24.0  		 Treated : 0 		 Reward : 138.66
Updates : 390 		 Survival : 13.0  		 Treated : 0 		 Reward : -9.67
Updates : 392 		 Survival : 33.0  		 Treated : 0 		 Reward : 38.17
Updates : 394 		 Survival : 11.0  		 Treated : 0 		 Reward : 15.64
Updates : 396 		 Survival : 15.0  		 Treated : 0 		 Reward : 3.86
Updates : 398 		 Survival : 22.0  		 Treated : 0 		 Reward : 42.59
Updates : 400 		 Survival : 4.0  		 Treated : 0 		 Reward : -1.18
Updates : 402 		 Survival : 19.0  		 Treated : 0 		 Reward : 34.1
Updates : 404 		 Survival : 14.0  		 Treated : 0 		 Reward : 38.14
Updates : 406 		 Survival : 7.0  		 Treated : 0 		 Reward : 4.3
Updates : 408 		 Survival : 16.0  		 Treated : 0 		 Reward : 64.88
Updates : 410 		 Survival : 57.0  		 Treated : 0 		 Reward : -424.26
Updates : 412 		 Survival : 15.0  		 Treated : 0 		 Reward : 17.73
