nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.465548: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_8_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 290 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.75
Updates : 292 		 Survival : 11.0  		 Treated : 0 		 Reward : 24.45
Updates : 294 		 Survival : 69.0  		 Treated : 0 		 Reward : 1166.25
Updates : 296 		 Survival : 42.0  		 Treated : 0 		 Reward : 312.38
Updates : 298 		 Survival : 10.0  		 Treated : 0 		 Reward : -3.29
Updates : 300 		 Survival : 69.0  		 Treated : 0 		 Reward : 1276.0
Updates : 302 		 Survival : 7.0  		 Treated : 0 		 Reward : 5.15
Updates : 304 		 Survival : 5.0  		 Treated : 0 		 Reward : 2.81
Updates : 306 		 Survival : 11.0  		 Treated : 0 		 Reward : 15.76
Updates : 308 		 Survival : 72.0  		 Treated : 0 		 Reward : 1042.46
Updates : 310 		 Survival : 74.0  		 Treated : 0 		 Reward : 793.17
Updates : 312 		 Survival : 14.0  		 Treated : 0 		 Reward : 28.42
Updates : 314 		 Survival : 24.0  		 Treated : 0 		 Reward : 86.09
Updates : 316 		 Survival : 12.0  		 Treated : 0 		 Reward : 22.69
Updates : 318 		 Survival : 30.0  		 Treated : 0 		 Reward : 51.19
Updates : 320 		 Survival : 77.0  		 Treated : 0 		 Reward : 458.9
Updates : 322 		 Survival : 10.0  		 Treated : 0 		 Reward : 3.21
Updates : 324 		 Survival : 36.0  		 Treated : 0 		 Reward : 198.95
Updates : 326 		 Survival : 76.0  		 Treated : 0 		 Reward : 859.93
Updates : 328 		 Survival : 25.0  		 Treated : 0 		 Reward : 156.83
Updates : 330 		 Survival : 108.0  		 Treated : 0 		 Reward : -23463.35
Updates : 332 		 Survival : 14.0  		 Treated : 0 		 Reward : 11.53
Updates : 334 		 Survival : 19.0  		 Treated : 0 		 Reward : 37.14
Updates : 336 		 Survival : 14.0  		 Treated : 0 		 Reward : 25.91
Updates : 338 		 Survival : 79.0  		 Treated : 0 		 Reward : -327.28
Updates : 340 		 Survival : 44.0  		 Treated : 0 		 Reward : 35.15
Updates : 342 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.35
Updates : 344 		 Survival : 10.0  		 Treated : 0 		 Reward : 20.7
Updates : 346 		 Survival : 8.0  		 Treated : 0 		 Reward : -1.06
Updates : 348 		 Survival : 25.0  		 Treated : 0 		 Reward : 65.92
Updates : 350 		 Survival : 20.0  		 Treated : 0 		 Reward : 29.44
Updates : 352 		 Survival : 74.0  		 Treated : 0 		 Reward : 958.12
Updates : 354 		 Survival : 14.0  		 Treated : 0 		 Reward : 26.38
Updates : 356 		 Survival : 108.0  		 Treated : 0 		 Reward : -36457.16
Updates : 358 		 Survival : 16.0  		 Treated : 0 		 Reward : 28.54
Updates : 360 		 Survival : 41.0  		 Treated : 0 		 Reward : 241.08
Updates : 362 		 Survival : 16.0  		 Treated : 0 		 Reward : 49.96
Updates : 364 		 Survival : 67.0  		 Treated : 0 		 Reward : 410.71
Updates : 366 		 Survival : 11.0  		 Treated : 0 		 Reward : 4.84
Updates : 368 		 Survival : 76.0  		 Treated : 0 		 Reward : 195.07
Updates : 370 		 Survival : 99.0  		 Treated : 0 		 Reward : -25665.82
Updates : 372 		 Survival : 11.0  		 Treated : 0 		 Reward : 17.38
Updates : 374 		 Survival : 72.0  		 Treated : 0 		 Reward : 1042.46
Updates : 376 		 Survival : 70.0  		 Treated : 0 		 Reward : 1090.56
Updates : 378 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.31
Updates : 380 		 Survival : 13.0  		 Treated : 0 		 Reward : 8.53
Updates : 382 		 Survival : 6.0  		 Treated : 0 		 Reward : 0.13
Updates : 384 		 Survival : 78.0  		 Treated : 0 		 Reward : 930.63
Updates : 386 		 Survival : 37.0  		 Treated : 0 		 Reward : 393.36
Updates : 388 		 Survival : 11.0  		 Treated : 0 		 Reward : 18.69
Updates : 390 		 Survival : 108.0  		 Treated : 0 		 Reward : -12417.79
Updates : 392 		 Survival : 72.0  		 Treated : 0 		 Reward : 730.32
Updates : 394 		 Survival : 73.0  		 Treated : 0 		 Reward : 753.44
Updates : 396 		 Survival : 41.0  		 Treated : 0 		 Reward : 15.65
Updates : 398 		 Survival : 77.0  		 Treated : 0 		 Reward : 458.9
Updates : 400 		 Survival : 77.0  		 Treated : 0 		 Reward : 458.9
Updates : 402 		 Survival : 34.0  		 Treated : 0 		 Reward : 242.42
Updates : 404 		 Survival : 22.0  		 Treated : 0 		 Reward : 131.95
Updates : 406 		 Survival : 10.0  		 Treated : 0 		 Reward : 43.68
Updates : 408 		 Survival : 108.0  		 Treated : 0 		 Reward : -24794.06
Updates : 410 		 Survival : 66.0  		 Treated : 0 		 Reward : 255.58
Updates : 412 		 Survival : 28.0  		 Treated : 0 		 Reward : 129.47
Updates : 414 		 Survival : 108.0  		 Treated : 0 		 Reward : -5630.15
Updates : 416 		 Survival : 11.0  		 Treated : 0 		 Reward : 0.93
Updates : 418 		 Survival : 56.0  		 Treated : 0 		 Reward : 341.95
Updates : 420 		 Survival : 73.0  		 Treated : 0 		 Reward : 928.77
Updates : 422 		 Survival : 108.0  		 Treated : 0 		 Reward : -33115.5
Updates : 424 		 Survival : 50.0  		 Treated : 0 		 Reward : 615.46
Updates : 426 		 Survival : 61.0  		 Treated : 0 		 Reward : 193.95
Updates : 428 		 Survival : 74.0  		 Treated : 0 		 Reward : 596.01
Updates : 430 		 Survival : 81.0  		 Treated : 0 		 Reward : 1192.07
Updates : 432 		 Survival : 108.0  		 Treated : 0 		 Reward : -4987.79
Updates : 434 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.26
Updates : 436 		 Survival : 73.0  		 Treated : 0 		 Reward : 577.81
Updates : 438 		 Survival : 71.0  		 Treated : 0 		 Reward : -95.42
Updates : 440 		 Survival : 108.0  		 Treated : 0 		 Reward : -2286.74
Updates : 442 		 Survival : 72.0  		 Treated : 0 		 Reward : 1042.46
Updates : 444 		 Survival : 4.0  		 Treated : 0 		 Reward : -1.27
Updates : 446 		 Survival : 35.0  		 Treated : 0 		 Reward : 232.97
Updates : 448 		 Survival : 78.0  		 Treated : 0 		 Reward : -3344.62
Updates : 450 		 Survival : 108.0  		 Treated : 0 		 Reward : -3785.19
Updates : 452 		 Survival : 60.0  		 Treated : 0 		 Reward : 10.33
Updates : 454 		 Survival : 76.0  		 Treated : 0 		 Reward : 859.93
Updates : 456 		 Survival : 89.0  		 Treated : 0 		 Reward : -2366.44
Updates : 458 		 Survival : 76.0  		 Treated : 0 		 Reward : 859.93
Updates : 460 		 Survival : 108.0  		 Treated : 0 		 Reward : -1701.5
Updates : 462 		 Survival : 56.0  		 Treated : 0 		 Reward : 707.08
Updates : 464 		 Survival : 108.0  		 Treated : 0 		 Reward : 1278.43
Updates : 466 		 Survival : 85.0  		 Treated : 0 		 Reward : -3073.46
Updates : 468 		 Survival : 93.0  		 Treated : 0 		 Reward : -3405.04
Updates : 470 		 Survival : 75.0  		 Treated : 0 		 Reward : 1156.83
Updates : 472 		 Survival : 72.0  		 Treated : 0 		 Reward : 886.52
Updates : 474 		 Survival : 75.0  		 Treated : 0 		 Reward : 818.24
Updates : 476 		 Survival : 76.0  		 Treated : 0 		 Reward : 652.94
Updates : 478 		 Survival : 108.0  		 Treated : 0 		 Reward : -5930.11
Updates : 480 		 Survival : 105.0  		 Treated : 0 		 Reward : 2798.08
Updates : 482 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.59
Updates : 484 		 Survival : 82.0  		 Treated : 0 		 Reward : 27.19
Updates : 486 		 Survival : 9.0  		 Treated : 0 		 Reward : 8.39
Updates : 488 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.47
Updates : 490 		 Survival : 73.0  		 Treated : 0 		 Reward : 753.44
Updates : 492 		 Survival : 72.0  		 Treated : 0 		 Reward : 886.52
Updates : 494 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.98
Updates : 496 		 Survival : 77.0  		 Treated : 0 		 Reward : 492.36
Updates : 498 		 Survival : 21.0  		 Treated : 0 		 Reward : 120.37
Updates : 500 		 Survival : 108.0  		 Treated : 0 		 Reward : -55446.79
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/best/patient011_8_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:04:55
--------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_8_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:04:55
--------------------------------------------------------------------------------------------
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 502 		 Survival : 72.0  		 Treated : 0 		 Reward : 1042.46
Updates : 504 		 Survival : 35.0  		 Treated : 0 		 Reward : 274.19
Updates : 506 		 Survival : 74.0  		 Treated : 0 		 Reward : 793.17
