nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-20 18:14:11.982176: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_3_20220920-1814-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Updates : 428 		 SurvivalMonths : 72.0 		 Average Reward : -846.83
Updates : 430 		 SurvivalMonths : 16.0 		 Average Reward : 24.67
Updates : 432 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 434 		 SurvivalMonths : 14.0 		 Average Reward : -1.9
Updates : 436 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 438 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 440 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 442 		 SurvivalMonths : 25.0 		 Average Reward : 201.19
Updates : 444 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 446 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 448 		 SurvivalMonths : 100.0 		 Average Reward : -1.83
Updates : 450 		 SurvivalMonths : 63.0 		 Average Reward : 543.97
Updates : 452 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 454 		 SurvivalMonths : 65.0 		 Average Reward : 1136.16
Updates : 456 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 458 		 SurvivalMonths : 22.0 		 Average Reward : 75.49
Updates : 460 		 SurvivalMonths : 79.0 		 Average Reward : -292.13
Updates : 462 		 SurvivalMonths : 108.0 		 Average Reward : 2803.7
Updates : 464 		 SurvivalMonths : 92.0 		 Average Reward : 758.7
Updates : 466 		 SurvivalMonths : 108.0 		 Average Reward : -1659.1
Updates : 468 		 SurvivalMonths : 12.0 		 Average Reward : 32.97
Updates : 470 		 SurvivalMonths : 108.0 		 Average Reward : -2576.27
Updates : 472 		 SurvivalMonths : 22.0 		 Average Reward : 116.1
Updates : 474 		 SurvivalMonths : 36.0 		 Average Reward : 370.63
Updates : 476 		 SurvivalMonths : 31.0 		 Average Reward : 230.37
Updates : 478 		 SurvivalMonths : 49.0 		 Average Reward : 399.34
Updates : 480 		 SurvivalMonths : 19.0 		 Average Reward : 62.8
Updates : 482 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 484 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 486 		 SurvivalMonths : 16.0 		 Average Reward : 48.5
Updates : 488 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 490 		 SurvivalMonths : 12.0 		 Average Reward : 13.77
Updates : 492 		 SurvivalMonths : 38.0 		 Average Reward : 31.12
Updates : 494 		 SurvivalMonths : 98.0 		 Average Reward : 2937.16
Updates : 496 		 SurvivalMonths : 18.0 		 Average Reward : 71.36
Updates : 498 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
